id,review_count,categories,rating,transactions,latitude,longitude,neighbourhood
8F81LrdFm6P5kkFpsw0n0w,1887,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",4.0,"['pickup', 'delivery']",40.7217399,-73.98739,Noho
LkV96_buOU_n0br4SBO57w,271,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,[],40.75240549384363,-73.9982864846782,Clinton
pfmAcS-g6SiNG0KlLvrqnA,3834,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"['pickup', 'delivery']",40.720434786101286,-73.98686057623863,Noho
J9UA6rzI5WW_cDGjwDnF5g,2270,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"['pickup', 'delivery']",40.73678,-73.9910699,Flatiron
xMUZfoyzyJoTfZxrEZus4Q,1667,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"['pickup', 'delivery']",40.76247,-73.9901,Clinton
O4rYM6YBj90W2u7RhG3Mvg,1237,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"['pickup', 'delivery']",40.7142634,-73.96166459999999,Lower East Side
nBkSqOhZMa1A7Yk3q8VPaA,729,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.0,[],40.72183,-73.98719,Noho
G9SWgxH65OBQaJaE8dHkbw,321,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'izakaya', 'title': 'Izakaya'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['pickup', 'delivery', 'restaurant_reservation']",40.71816,-73.99186,Chinatown
fVsH6QIJPzXpVbgmeiolsA,737,"[{'alias': 'korean', 'title': 'Korean'}]",4.5,[],40.7188032533572,-74.0090829725856,Tribeca
Xk3BVvlX-KXh6kJhbClMKw,499,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.5,"['pickup', 'delivery']",40.7501754760742,-73.9821929931641,Midtown
xkvv0n7jbl4Ra3Vm_jfxaA,1190,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,"['pickup', 'delivery']",40.7418912,-73.9846396,Gramercy
obFs12x7mgYPGxgalBd22w,680,"[{'alias': 'french', 'title': 'French'}]",4.0,[],40.71909,-74.00013,Little Italy
hthvpEL7JEbfxfD6iP9axQ,1009,"[{'alias': 'steak', 'title': 'Steakhouses'}]",4.5,"['delivery', 'restaurant_reservation']",40.71462413989243,-73.9497399,Lower East Side
28CNHYULci66pJAz-0_pOg,1633,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,['delivery'],40.741046,-73.991421,Flatiron
npiIhpcWePbVT3JYEcy3zg,591,"[{'alias': 'indonesian', 'title': 'Indonesian'}, {'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"['pickup', 'delivery']",40.7213813139202,-73.9950757664721,Little Italy
W0sXHSSpkiMEDJiBmSLNYQ,527,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"['pickup', 'delivery', 'restaurant_reservation']",40.7606154,-73.9229562,Roosevelt Island
QhE50zhSMnQaudpHW1jp7g,438,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'panasian', 'title': 'Pan Asian'}]",4.0,"['pickup', 'delivery']",40.71888,-73.99951,Little Italy
CfOBb6NU2awo8xclJpKU3g,642,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"['pickup', 'delivery']",40.67032,-73.98569,Lower East Side
mPHPVJ2-8mOR-lFHafrc6w,318,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"['pickup', 'delivery']",40.689722,-73.971003,Lower East Side
rZIMlQ76I0mXL8uNii_wVg,330,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.5,['pickup'],40.71694,-74.0057,Civic Center
hk3ohp_A4L4UgWTexDxf_Q,1646,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"['pickup', 'delivery']",40.762876,-73.983837,Midtown
0IFDnYf3bhqxJR6hVrG7Gw,936,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['pickup', 'delivery', 'restaurant_reservation']",40.729907419973344,-74.00421380395268,West Village
xtxcAUvrD4dWHJd0cwvW1A,920,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,['delivery'],40.73304,-74.00734,West Village
CFR-HzVHKWRMpMAR3LAhzg,237,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"['pickup', 'delivery']",40.71338,-73.95136,Lower East Side
8YWLuLUKj0t_0_Xv06UUtw,241,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'speakeasies', 'title': 'Speakeasies'}]",4.5,[],40.71945,-73.9898,Noho
cTE0e96GYzet799EJeStoQ,643,"[{'alias': 'georgian', 'title': 'Georgian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['pickup', 'delivery']",40.7384,-73.99892,Flatiron
PHMkwS5nmo4IUXbcg0OcAg,585,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['pickup', 'delivery']",40.72979,-74.00455,West Village
qBGKigOGn_flCx1apxPzlA,772,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"['pickup', 'delivery']",40.72506,-74.00322,Greenwich Village
5CuYWr0-cE01HxlBu5Ka6g,187,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,[],40.70568649199326,-74.00218961453646,Financial District
e_EQojNWskn_hFbKA_UZ-Q,311,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"['pickup', 'delivery']",40.72063,-73.98539,Noho
TBp9gdS6xEbSQqffVZ7iag,1383,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,['delivery'],40.74519,-73.98824,Midtown South
XgiG7K7ubHsj2JJ-c2sXnw,623,"[{'alias': 'thai', 'title': 'Thai'}]",4.0,['delivery'],40.72071042964739,-73.9956057,Little Italy
PYcL2z9gHj6-ZTlViT9Nqw,2418,"[{'alias': 'french', 'title': 'French'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,['delivery'],40.7300047976758,-74.0006073834151,Greenwich Village
pGr5QuQU7Ur5GHLvXbT8bw,1341,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,['delivery'],40.729546,-73.958568,Stuyvesant Town
k5fd-RSdG4IuXnnGSQ5oOw,1516,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"['pickup', 'delivery']",40.727966,-73.988382,Noho
H_KyiRhwho8rdlw_R93_0Q,2339,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"['pickup', 'delivery']",40.7674213694566,-73.9810554368179,Lincoln Square
FZpm4_fbd6P984foOUejWg,2465,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,['delivery'],40.747514,-73.986884,Midtown South
zX8IF7oCbw1HrNaPmOBy-g,222,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,['delivery'],40.72881,-73.98403,East Village
bVkjBJlAIwKAj9Aw1KVWjA,1662,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cantonese', 'title': 'Cantonese'}]",4.0,"['pickup', 'delivery']",40.76015,-73.9893699,Clinton
oOsJn3leUnWDfErRWMf81g,2341,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",4.0,"['pickup', 'delivery']",40.693739699999334,-73.96449631779052,Lower East Side
zGAQqDu0Ak2khVYs9WdQxw,1711,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,[],40.7317465228689,-74.0045493828034,West Village
4x_WyIOEdqxk01QH1HxYrw,1328,"[{'alias': 'seafood', 'title': 'Seafood'}]",4.0,"['pickup', 'delivery']",40.7269999,-73.98844,Noho
zfiXI8AwYBRfWjPyv6oh3w,1483,"[{'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"['pickup', 'delivery']",40.7427413905213,-74.0060118057704,Chelsea
HFOiW4RvijuoblE4DD3JwA,728,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.0,"['pickup', 'delivery']",40.69076075086799,-73.98305726378,Lower East Side
6gzQLjzJk25ePm_JS7ZAug,398,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['pickup', 'delivery']",40.73322607409529,-73.95492695812946,Stuyvesant Town
kN3rkbjvqkY62CDRYUVz4g,262,"[{'alias': 'izakaya', 'title': 'Izakaya'}]",4.5,"['pickup', 'delivery']",40.71975013980203,-73.98488557728082,Lower East Side
