,id,review_count,categories,rating,neighbourhood,count_of_businesses,scores
45,7_hGsGEkHrjgAiYVjrCFnw,1604,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,Greenwich Village,70,35.56701030927835
46,hthvpEL7JEbfxfD6iP9axQ,1011,"[{'alias': 'steak', 'title': 'Steakhouses'}]",4.5,Lower East Side,195,100.0
47,C-8mGN7lt5rIraO5n-15ug,3101,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,Turtle Bay,18,8.762886597938143
48,_gzXNKarTxagBp6_PkmQKw,1674,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,Flatiron,39,19.587628865979383
49,G9SWgxH65OBQaJaE8dHkbw,322,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'izakaya', 'title': 'Izakaya'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,Chinatown,82,41.75257731958763
50,x0k5kFArHLijdY8-NEQ7Xg,2285,"[{'alias': 'indpak', 'title': 'Indian'}]",4.5,Midtown,59,29.896907216494846
51,XipQLDbyTl5tsLlyzAWzug,1184,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,Chinatown,82,41.75257731958763
52,O4rYM6YBj90W2u7RhG3Mvg,1242,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,Lower East Side,195,100.0
53,J9UA6rzI5WW_cDGjwDnF5g,2276,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,Flatiron,39,19.587628865979383
54,SSDOkx5enfRH3nsniS_2jA,919,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,Lower East Side,195,100.0
55,v1DHGRNCH9247WLYoaoA9A,943,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,Lower East Side,195,100.0
